Time,GSR
'0:0:24.5,2.1640
'0:0:24.6,2.1622
'0:0:24.7,2.1603
'0:0:24.8,2.1581
'0:0:24.9,2.1565
'0:0:25.0,2.1553
'0:0:25.1,2.1541
'0:0:25.2,2.1533
'0:0:25.3,2.1524
'0:0:25.4,2.1519
'0:0:25.5,2.1517
'0:0:25.6,2.1522
'0:0:25.7,2.1517
'0:0:25.8,2.1510
'0:0:25.9,2.1502
'0:0:26.0,2.1496
'0:0:26.1,2.1493
'0:0:26.2,2.1484
'0:0:26.3,2.1478
'0:0:26.4,2.1462
'0:0:26.5,2.1452
'0:0:26.6,2.1438
'0:0:26.7,2.1419
'0:0:26.8,2.1407
'0:0:26.9,2.1393
'0:0:27.0,2.1380
'0:0:27.1,2.1369
'0:0:27.2,2.1351
'0:0:27.3,2.1339
'0:0:27.4,2.1327
'0:0:27.5,2.1320
'0:0:27.6,2.1305
'0:0:27.7,2.1289
'0:0:27.8,2.1277
'0:0:27.9,2.1262
'0:0:28.0,2.1248
'0:0:28.1,2.1240
'0:0:28.2,2.1224
'0:0:28.3,2.1213
'0:0:28.4,2.1199
'0:0:28.5,2.1187
'0:0:28.6,2.1184
'0:0:28.7,2.1179
'0:0:28.8,2.1177
'0:0:28.9,2.1167
'0:0:29.0,2.1145
'0:0:29.1,2.1113
'0:0:29.2,2.1102
'0:0:29.3,2.1089
'0:0:29.4,2.1082
'0:0:29.5,2.1070
'0:0:29.6,2.1057
'0:0:29.7,2.1048
'0:0:29.8,2.1033
'0:0:29.9,2.1023
'0:0:30.0,2.1015
'0:0:30.1,2.1006
'0:0:30.2,2.1000
'0:0:30.3,2.1006
'0:0:30.4,2.1001
'0:0:30.5,2.0996
'0:0:30.6,2.0978
'0:0:30.7,2.0961
'0:0:30.8,2.0949
'0:0:30.9,2.0936
'0:0:31.0,2.0932
'0:0:31.1,2.0942
'0:0:31.2,2.0916
'0:0:31.3,2.0854
'0:0:31.4,2.0850
'0:0:31.5,2.0849
'0:0:31.6,2.0862
'0:0:31.7,2.0872
'0:0:31.8,2.0860
'0:0:31.9,2.0847
'0:0:32.0,2.0839
'0:0:32.1,2.0830
'0:0:32.2,2.0824
'0:0:32.3,2.0815
'0:0:32.4,2.0810
'0:0:32.5,2.0798
'0:0:32.6,2.0795
'0:0:32.7,2.0788
'0:0:32.8,2.0780
'0:0:32.9,2.0777
'0:0:33.0,2.0777
'0:0:33.1,2.0782
'0:0:33.2,2.0797
'0:0:33.3,2.0815
'0:0:33.4,2.0842
'0:0:33.5,2.0870
'0:0:33.6,2.0904
'0:0:33.7,2.0942
'0:0:33.8,2.0984
'0:0:33.9,2.1018
'0:0:34.0,2.1053
'0:0:34.1,2.1086
'0:0:34.2,2.1114
'0:0:34.3,2.1140
'0:0:34.4,2.1163
'0:0:34.5,2.1182
'0:0:34.6,2.1192
'0:0:34.7,2.1196
'0:0:34.8,2.1192
'0:0:34.9,2.1185
'0:0:35.0,2.1179
'0:0:35.1,2.1175
'0:0:35.2,2.1162
'0:0:35.3,2.1150
'0:0:35.4,2.1131
'0:0:35.5,2.1114
'0:0:35.6,2.1099
'0:0:35.7,2.1084
'0:0:35.8,2.1072
'0:0:35.9,2.1053
'0:0:36.0,2.1038
'0:0:36.1,2.1025
'0:0:36.2,2.1008
'0:0:36.3,2.0996
'0:0:36.4,2.0984
'0:0:36.5,2.0976
'0:0:36.6,2.0964
'0:0:36.7,2.0952
'0:0:36.8,2.0944
'0:0:36.9,2.0931
'0:0:37.0,2.0922
'0:0:37.1,2.0912
'0:0:37.2,2.0904
'0:0:37.3,2.0894
'0:0:37.4,2.0885
'0:0:37.5,2.0875
'0:0:37.6,2.0874
'0:0:37.7,2.0865
'0:0:37.8,2.0860
'0:0:37.9,2.0849
'0:0:38.0,2.0845
'0:0:38.1,2.0840
'0:0:38.2,2.0837
'0:0:38.3,2.0835
'0:0:38.4,2.0835
'0:0:38.5,2.0834
'0:0:38.6,2.0830
'0:0:38.7,2.0825
'0:0:38.8,2.0825
'0:0:38.9,2.0820
'0:0:39.0,2.0819
'0:0:39.1,2.0815
'0:0:39.2,2.0810
'0:0:39.3,2.0800
'0:0:39.4,2.0795
'0:0:39.5,2.0788
'0:0:39.6,2.0785
'0:0:39.7,2.0778
'0:0:39.8,2.0768
'0:0:39.9,2.0758
'0:0:40.0,2.0749
'0:0:40.1,2.0740
'0:0:40.2,2.0735
'0:0:40.3,2.0724
'0:0:40.4,2.0717
'0:0:40.5,2.0710
'0:0:40.6,2.0702
'0:0:40.7,2.0689
'0:0:40.8,2.0682
'0:0:40.9,2.0679
'0:0:41.0,2.0670
'0:0:41.1,2.0662
'0:0:41.2,2.0656
'0:0:41.3,2.0647
'0:0:41.4,2.0641
'0:0:41.5,2.0634
'0:0:41.6,2.0631
'0:0:41.7,2.0627
'0:0:41.8,2.0626
'0:0:41.9,2.0622
'0:0:42.0,2.0624
'0:0:42.1,2.0621
'0:0:42.2,2.0622
'0:0:42.3,2.0619
'0:0:42.4,2.0619
'0:0:42.5,2.0619
'0:0:42.6,2.0621
'0:0:42.7,2.0614
'0:0:42.8,2.0616
'0:0:42.9,2.0613
'0:0:43.0,2.0611
'0:0:43.1,2.0608
'0:0:43.2,2.0604
'0:0:43.3,2.0596
'0:0:43.4,2.0586
'0:0:43.5,2.0581
'0:0:43.6,2.0573
'0:0:43.7,2.0565
'0:0:43.8,2.0558
'0:0:43.9,2.0550
'0:0:44.0,2.0540
'0:0:44.1,2.0533
'0:0:44.2,2.0530
'0:0:44.3,2.0523
'0:0:44.4,2.0527
'0:0:44.5,2.0537
'0:0:44.6,2.0550
'0:0:44.7,2.0576
'0:0:44.8,2.0617
'0:0:44.9,2.0669
'0:0:45.0,2.0729
'0:0:45.1,2.0788
'0:0:45.2,2.0845
'0:0:45.3,2.0899
'0:0:45.4,2.0949
