Time, GSR
'0:0:24.5,1.2581
'0:0:24.6,1.2574
'0:0:24.7,1.2571
'0:0:24.8,1.2565
'0:0:24.9,1.2562
'0:0:25.0,1.2556
'0:0:25.1,1.2552
'0:0:25.2,1.2546
'0:0:25.3,1.2542
'0:0:25.4,1.2539
'0:0:25.5,1.2534
'0:0:25.6,1.2529
'0:0:25.7,1.2524
'0:0:25.8,1.2520
'0:0:25.9,1.2514
'0:0:26.0,1.2510
'0:0:26.1,1.2506
'0:0:26.2,1.2500
'0:0:26.3,1.2495
'0:0:26.4,1.2490
'0:0:26.5,1.2486
'0:0:26.6,1.2472
'0:0:26.7,1.2463
'0:0:26.8,1.2461
'0:0:26.9,1.2464
'0:0:27.0,1.2465
'0:0:27.1,1.2465
'0:0:27.2,1.2460
'0:0:27.3,1.2457
'0:0:27.4,1.2453
'0:0:27.5,1.2450
'0:0:27.6,1.2445
'0:0:27.7,1.2440
'0:0:27.8,1.2437
'0:0:27.9,1.2432
'0:0:28.0,1.2428
'0:0:28.1,1.2423
'0:0:28.2,1.2419
'0:0:28.3,1.2415
'0:0:28.4,1.2413
'0:0:28.5,1.2408
'0:0:28.6,1.2406
'0:0:28.7,1.2403
'0:0:28.8,1.2398
'0:0:28.9,1.2396
'0:0:29.0,1.2392
'0:0:29.1,1.2387
'0:0:29.2,1.2384
'0:0:29.3,1.2379
'0:0:29.4,1.2376
'0:0:29.5,1.2371
'0:0:29.6,1.2368
'0:0:29.7,1.2366
'0:0:29.8,1.2363
'0:0:29.9,1.2360
'0:0:30.0,1.2358
'0:0:30.1,1.2355
'0:0:30.2,1.2353
'0:0:30.3,1.2354
'0:0:30.4,1.2354
'0:0:30.5,1.2354
'0:0:30.6,1.2354
'0:0:30.7,1.2354
'0:0:30.8,1.2354
'0:0:30.9,1.2357
'0:0:31.0,1.2361
'0:0:31.1,1.2364
'0:0:31.2,1.2364
'0:0:31.3,1.2362
'0:0:31.4,1.2362
'0:0:31.5,1.2362
'0:0:31.6,1.2360
'0:0:31.7,1.2359
'0:0:31.8,1.2359
'0:0:31.9,1.2359
'0:0:32.0,1.2359
'0:0:32.1,1.2358
'0:0:32.2,1.2356
'0:0:32.3,1.2353
'0:0:32.4,1.2349
'0:0:32.5,1.2348
'0:0:32.6,1.2346
'0:0:32.7,1.2343
'0:0:32.8,1.2341
'0:0:32.9,1.2336
'0:0:33.0,1.2331
'0:0:33.1,1.2327
'0:0:33.2,1.2321
'0:0:33.3,1.2316
'0:0:33.4,1.2311
'0:0:33.5,1.2307
'0:0:33.6,1.2301
'0:0:33.7,1.2297
'0:0:33.8,1.2294
'0:0:33.9,1.2289
'0:0:34.0,1.2285
'0:0:34.1,1.2281
'0:0:34.2,1.2277
'0:0:34.3,1.2273
'0:0:34.4,1.2271
'0:0:34.5,1.2268
'0:0:34.6,1.2263
'0:0:34.7,1.2260
'0:0:34.8,1.2256
'0:0:34.9,1.2255
'0:0:35.0,1.2250
'0:0:35.1,1.2247
'0:0:35.2,1.2244
'0:0:35.3,1.2241
'0:0:35.4,1.2238
'0:0:35.5,1.2235
'0:0:35.6,1.2233
'0:0:35.7,1.2231
'0:0:35.8,1.2227
'0:0:35.9,1.2224
'0:0:36.0,1.2222
'0:0:36.1,1.2218
