Time,GSR
'0:0:24.5,0.9359
'0:0:24.6,0.9354
'0:0:24.7,0.9357
'0:0:24.8,0.9358
'0:0:24.9,0.9361
'0:0:25.0,0.9361
'0:0:25.1,0.9362
'0:0:25.2,0.9361
'0:0:25.3,0.9363
'0:0:25.4,0.9362
'0:0:25.5,0.9362
'0:0:25.6,0.9362
'0:0:25.7,0.9364
'0:0:25.8,0.9365
'0:0:25.9,0.9369
'0:0:26.0,0.9370
'0:0:26.1,0.9368
'0:0:26.2,0.9370
'0:0:26.3,0.9371
'0:0:26.4,0.9370
'0:0:26.5,0.9370
'0:0:26.6,0.9373
'0:0:26.7,0.9375
'0:0:26.8,0.9373
'0:0:26.9,0.9374
'0:0:27.0,0.9374
'0:0:27.1,0.9373
'0:0:27.2,0.9374
'0:0:27.3,0.9378
'0:0:27.4,0.9373
'0:0:27.5,0.9374
'0:0:27.6,0.9376
'0:0:27.7,0.9377
'0:0:27.8,0.9381
'0:0:27.9,0.9382
'0:0:28.0,0.9375
'0:0:28.1,0.9375
'0:0:28.2,0.9382
'0:0:28.3,0.9380
'0:0:28.4,0.9401
'0:0:28.5,0.9390
'0:0:28.6,0.9383
'0:0:28.7,0.9379
'0:0:28.8,0.9391
'0:0:28.9,0.9388
'0:0:29.0,0.9433
'0:0:29.1,0.9396
'0:0:29.2,0.9374
'0:0:29.3,0.9383
'0:0:29.4,0.9388
'0:0:29.5,0.9401
'0:0:29.6,0.9438
'0:0:29.7,0.9377
'0:0:29.8,0.9348
'0:0:29.9,0.9357
'0:0:30.0,0.9359
'0:0:30.1,0.9438
'0:0:30.2,0.9395
'0:0:30.3,0.9367
'0:0:30.4,0.9372
'0:0:30.5,0.9373
'0:0:30.6,0.9417
'0:0:30.7,0.9473
'0:0:30.8,0.9523
'0:0:30.9,0.9450
'0:0:31.0,0.9376
'0:0:31.1,0.9357
'0:0:31.2,0.9347
'0:0:31.3,0.9331
'0:0:31.4,0.9336
'0:0:31.5,0.9272
'0:0:31.6,0.9300
'0:0:31.7,0.9378
'0:0:31.8,0.9381
'0:0:31.9,0.9364
'0:0:32.0,0.9366
'0:0:32.1,0.9347
'0:0:32.2,0.9356
'0:0:32.3,0.9384
'0:0:32.4,0.9395
'0:0:32.5,0.9398
'0:0:32.6,0.9402
'0:0:32.7,0.9404
'0:0:32.8,0.9401
'0:0:32.9,0.9401
'0:0:33.0,0.9396
'0:0:33.1,0.9397
'0:0:33.2,0.9396
'0:0:33.3,0.9395
'0:0:33.4,0.9395
'0:0:33.5,0.9397
'0:0:33.6,0.9397
'0:0:33.7,0.9395
'0:0:33.8,0.9395
'0:0:33.9,0.9399
'0:0:34.0,0.9398
'0:0:34.1,0.9398
'0:0:34.2,0.9402
'0:0:34.3,0.9402
'0:0:34.4,0.9404
'0:0:34.5,0.9403
'0:0:34.6,0.9401
'0:0:34.7,0.9401
'0:0:34.8,0.9401
'0:0:34.9,0.9404
'0:0:35.0,0.9403
'0:0:35.1,0.9402
'0:0:35.2,0.9403
'0:0:35.3,0.9400
'0:0:35.4,0.9402
'0:0:35.5,0.9403
'0:0:35.6,0.9402
'0:0:35.7,0.9403
'0:0:35.8,0.9405
'0:0:35.9,0.9406
'0:0:36.0,0.9405
'0:0:36.1,0.9407
'0:0:36.2,0.9406
'0:0:36.3,0.9408
'0:0:36.4,0.9409
'0:0:36.5,0.9408
'0:0:36.6,0.9409
'0:0:36.7,0.9410
'0:0:36.8,0.9411
'0:0:36.9,0.9415
'0:0:37.0,0.9415
'0:0:37.1,0.9414
'0:0:37.2,0.9415
'0:0:37.3,0.9408
'0:0:37.4,0.9405
'0:0:37.5,0.9407
'0:0:37.6,0.9409
'0:0:37.7,0.9408
'0:0:37.8,0.9408
'0:0:37.9,0.9414
'0:0:38.0,0.9413
'0:0:38.1,0.9413
'0:0:38.2,0.9414
'0:0:38.3,0.9411
