,Epoch,HR,PC_HR,HR_MIN,HR_MAX,HRV,PC_HRV,HRV_MIN,HRV_MAX,BR,PC_BR,BR_MIN,BR_MAX,GSR,PC_GSR,GSR_MIN,GSR_MAX,Feedback
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,9.246,81.86999999996003,4.75177244187,80.442,83.294,50.035333333359986,-7.686703540652001,49.888,50.188,14.094466666675997,11.994203619771996,13.981599999999993,14.207400000000002,3.951927233352,96.10741229044805,3.921170179999999,3.982610100000005,4.765
std,3.8976746574683414,9.227365682930698,9.24018111695967,9.101445413627138,9.472434641425195,14.768573080782746,19.75811006998302,14.737497877434103,14.803748103633474,3.030533117739701,35.500062758815126,3.047259920986736,3.0240527492191887,2.517938929675852,91.23686207897903,2.5024481500446494,2.5347963833171203,1.893791935718279
min,2.0,64.0,-13.76571718,63.0,65.0,19.0,-56.45067749,19.0,19.0,5.6,-61.80352474,5.5,5.8,0.268456667,-5.275143632,0.26465,0.27046,2.5
25%,6.0,74.66666667,-1.9368020172499998,74.0,76.0,39.33333333,-22.4664475025,39.0,40.0,12.0,-12.0975161,12.0,12.0,1.66810083325,44.98325268,1.6633200000000001,1.67832,3.0
50%,10.0,81.33333333,3.9823131,79.0,83.0,49.0,-7.990968007,49.0,49.0,14.0,7.38327175,14.0,14.0,3.89116,66.953863675,3.8448900000000004,3.9253549999999997,4.0
75%,13.0,88.33333333,9.956275536,86.0,90.0,58.66666667,6.354722163250001,58.0,59.0,16.0,28.009492665,16.0,16.0,6.35794499975,111.114163675,6.277265,6.4197375,6.0
max,14.0,112.33333329999999,32.3989778,110.0,115.0,105.0,46.77520351,105.0,105.0,22.0,100.7322214,22.0,22.0,9.9999,663.3136644,9.9999,9.9999,9.0
