Time
'0:0:0.0,2.5342
'0:0:0.1,2.5327
'0:0:0.2,2.5317
'0:0:0.3,2.5303
'0:0:0.4,2.5293
'0:0:0.5,2.5279
'0:0:0.6,2.5265
'0:0:0.7,2.5246
'0:0:0.8,2.5234
'0:0:0.9,2.5216
'0:0:1.0,2.5202
'0:0:1.1,2.5186
'0:0:1.2,2.5170
'0:0:1.3,2.5155
'0:0:1.4,2.5131
'0:0:1.5,2.5105
'0:0:1.6,2.5071
'0:0:1.7,2.5037
'0:0:1.8,2.4999
'0:0:1.9,2.4971
'0:0:2.0,2.4945
'0:0:2.1,2.4925
'0:0:2.2,2.4907
'0:0:2.3,2.4897
'0:0:2.4,2.4875
'0:0:2.5,2.4849
'0:0:2.6,2.4831
'0:0:2.7,2.4813
'0:0:2.8,2.4794
'0:0:2.9,2.4780
'0:0:3.0,2.4772
'0:0:3.1,2.4766
'0:0:3.2,2.4758
'0:0:3.3,2.4750
'0:0:3.4,2.4744
'0:0:3.5,2.4740
'0:0:3.6,2.4738
'0:0:3.7,2.4734
'0:0:3.8,2.4728
'0:0:3.9,2.4724
'0:0:4.0,2.4722
'0:0:4.1,2.4716
'0:0:4.2,2.4712
'0:0:4.3,2.4712
'0:0:4.4,2.4710
'0:0:4.5,2.4698
'0:0:4.6,2.4685
'0:0:4.7,2.4667
'0:0:4.8,2.4645
'0:0:4.9,2.4623
'0:0:5.0,2.4604
'0:0:5.1,2.4582
'0:0:5.2,2.4560
'0:0:5.3,2.4539
'0:0:5.4,2.4515
'0:0:5.5,2.4490
'0:0:5.6,2.4468
'0:0:5.7,2.4453
'0:0:5.8,2.4441
'0:0:5.9,2.4433
'0:0:6.0,2.4433
'0:0:6.1,2.4437
'0:0:6.2,2.4447
'0:0:6.3,2.4455
'0:0:6.4,2.4470
'0:0:6.5,2.4492
'0:0:6.6,2.4515
'0:0:6.7,2.4537
'0:0:6.8,2.4549
'0:0:6.9,2.4560
'0:0:7.0,2.4580
'0:0:7.1,2.4614
'0:0:7.2,2.4645
'0:0:7.3,2.4637
'0:0:7.4,2.4623
'0:0:7.5,2.4604
'0:0:7.6,2.4576
'0:0:7.7,2.4549
'0:0:7.8,2.4519
'0:0:7.9,2.4490
'0:0:8.0,2.4466
'0:0:8.1,2.4441
'0:0:8.2,2.4415
'0:0:8.3,2.4400
'0:0:8.4,2.4380
'0:0:8.5,2.4361
'0:0:8.6,2.4343
'0:0:8.7,2.4324
'0:0:8.8,2.4306
'0:0:8.9,2.4293
'0:0:9.0,2.4283
'0:0:9.1,2.4269
'0:0:9.2,2.4256
'0:0:9.3,2.4244
'0:0:9.4,2.4234
'0:0:9.5,2.4223
'0:0:9.6,2.4215
'0:0:9.7,2.4209
'0:0:9.8,2.4207
'0:0:9.9,2.4202
'0:0:10.0,2.4194
'0:0:10.1,2.4186
'0:0:10.2,2.4182
'0:0:10.3,2.4171
'0:0:10.4,2.4155
'0:0:10.5,2.4136
'0:0:10.6,2.4120
'0:0:10.7,2.4099
'0:0:10.8,2.4080
'0:0:10.9,2.4061
'0:0:11.0,2.4041
'0:0:11.1,2.4020
'0:0:11.2,2.4005
'0:0:11.3,2.3991
'0:0:11.4,2.3982
'0:0:11.5,2.3974
'0:0:11.6,2.3972
'0:0:11.7,2.3959
'0:0:11.8,2.3938
'0:0:11.9,2.3913
'0:0:12.0,2.3898
'0:0:12.1,2.3879
'0:0:12.2,2.3863
'0:0:12.3,2.3842
'0:0:12.4,2.3825
'0:0:12.5,2.3804
'0:0:12.6,2.3783
'0:0:12.7,2.3760
'0:0:12.8,2.3736
'0:0:12.9,2.3713
'0:0:13.0,2.3692
'0:0:13.1,2.3669
'0:0:13.2,2.3645
'0:0:13.3,2.3622
'0:0:13.4,2.3599
'0:0:13.5,2.3577
'0:0:13.6,2.3556
'0:0:13.7,2.3537
'0:0:13.8,2.3518
'0:0:13.9,2.3498
'0:0:14.0,2.3479
'0:0:14.1,2.3458
'0:0:14.2,2.3440
'0:0:14.3,2.3421
'0:0:14.4,2.3406
'0:0:14.5,2.3391
'0:0:14.6,2.3374
'0:0:14.7,2.3359
'0:0:14.8,2.3346
'0:0:14.9,2.3329
'0:0:15.0,2.3316
'0:0:15.1,2.3298
'0:0:15.2,2.3279
'0:0:15.3,2.3260
'0:0:15.4,2.3244
'0:0:15.5,2.3225
'0:0:15.6,2.3205
'0:0:15.7,2.3184
'0:0:15.8,2.3166
'0:0:15.9,2.3147
'0:0:16.0,2.3129
'0:0:16.1,2.3108
'0:0:16.2,2.3090
'0:0:16.3,2.3070
'0:0:16.4,2.3047
'0:0:16.5,2.3029
'0:0:16.6,2.3012
'0:0:16.7,2.2994
'0:0:16.8,2.2976
'0:0:16.9,2.2963
'0:0:17.0,2.2955
'0:0:17.1,2.2946
'0:0:17.2,2.2932
'0:0:17.3,2.2915
'0:0:17.4,2.2900
'0:0:17.5,2.2886
'0:0:17.6,2.2867
'0:0:17.7,2.2849
'0:0:17.8,2.2835
'0:0:17.9,2.2816
'0:0:18.0,2.2802
'0:0:18.1,2.2785
'0:0:18.2,2.2769
'0:0:18.3,2.2754
'0:0:18.4,2.2736
'0:0:18.5,2.2716
'0:0:18.6,2.2700
'0:0:18.7,2.2682
'0:0:18.8,2.2667
'0:0:18.9,2.2654
'0:0:19.0,2.2644
'0:0:19.1,2.2629
'0:0:19.2,2.2615
'0:0:19.3,2.2604
'0:0:19.4,2.2591
'0:0:19.5,2.2579
'0:0:19.6,2.2564
'0:0:19.7,2.2551
'0:0:19.8,2.2537
'0:0:19.9,2.2523
'0:0:20.0,2.2510
'0:0:20.1,2.2492
'0:0:20.2,2.2476
'0:0:20.3,2.2461
'0:0:20.4,2.2447
'0:0:20.5,2.2438
'0:0:20.6,2.2431
'0:0:20.7,2.2424
'0:0:20.8,2.2409
'0:0:20.9,2.2388
'0:0:21.0,2.2374
'0:0:21.1,2.2352
'0:0:21.2,2.2324
'0:0:21.3,2.2300
'0:0:21.4,2.2282
'0:0:21.5,2.2259
'0:0:21.6,2.2240
'0:0:21.7,2.2218
'0:0:21.8,2.2197
'0:0:21.9,2.2179
'0:0:22.0,2.2162
'0:0:22.1,2.2140
'0:0:22.2,2.2117
'0:0:22.3,2.2094
'0:0:22.4,2.2070
'0:0:22.5,2.2052
'0:0:22.6,2.2036
'0:0:22.7,2.2017
'0:0:22.8,2.2003
'0:0:22.9,2.1985
'0:0:23.0,2.1974
'0:0:23.1,2.1957
'0:0:23.2,2.1941
'0:0:23.3,2.1925
'0:0:23.4,2.1909
'0:0:23.5,2.1901
'0:0:23.6,2.1888
'0:0:23.7,2.1883
'0:0:23.8,2.1881
'0:0:23.9,2.1881
'0:0:24.0,2.1888
'0:0:24.1,2.1901
'0:0:24.2,2.1920
'0:0:24.3,2.1941
'0:0:24.4,2.1967
'0:0:24.5,2.2001
'0:0:24.6,2.2041
'0:0:24.7,2.2098
'0:0:24.8,2.2154
'0:0:24.9,2.2224
'0:0:25.0,2.2288
'0:0:25.1,2.2325
'0:0:25.2,2.2356
'0:0:25.3,2.2377
'0:0:25.4,2.2384
'0:0:25.5,2.2383
'0:0:25.6,2.2372
'0:0:25.7,2.2363
'0:0:25.8,2.2363
'0:0:25.9,2.2370
'0:0:26.0,2.2377
'0:0:26.1,2.2372
'0:0:26.2,2.2363
'0:0:26.3,2.2354
'0:0:26.4,2.2343
'0:0:26.5,2.2332
'0:0:26.6,2.2325
'0:0:26.7,2.2322
'0:0:26.8,2.2320
'0:0:26.9,2.2320
'0:0:27.0,2.2322
'0:0:27.1,2.2315
'0:0:27.2,2.2316
'0:0:27.3,2.2322
'0:0:27.4,2.2345
'0:0:27.5,2.2356
'0:0:27.6,2.2352
'0:0:27.7,2.2350
'0:0:27.8,2.2340
'0:0:27.9,2.2327
'0:0:28.0,2.2315
'0:0:28.1,2.2300
'0:0:28.2,2.2293
'0:0:28.3,2.2297
'0:0:28.4,2.2356
'0:0:28.5,2.2386
'0:0:28.6,2.2359
'0:0:28.7,2.2340
'0:0:28.8,2.2327
'0:0:28.9,2.2316
'0:0:29.0,2.2313
'0:0:29.1,2.2306
'0:0:29.2,2.2302
'0:0:29.3,2.2293
'0:0:29.4,2.2282
'0:0:29.5,2.2274
'0:0:29.6,2.2259
'0:0:29.7,2.2245
'0:0:29.8,2.2234
'0:0:29.9,2.2222
'0:0:30.0,2.2208
'0:0:30.1,2.2190
'0:0:30.2,2.2176
'0:0:30.3,2.2158
'0:0:30.4,2.2140
'0:0:30.5,2.2123
'0:0:30.6,2.2107
'0:0:30.7,2.2094
'0:0:30.8,2.2080
'0:0:30.9,2.2068
'0:0:31.0,2.2059
'0:0:31.1,2.2050
'0:0:31.2,2.2043
'0:0:31.3,2.2040
'0:0:31.4,2.2040
'0:0:31.5,2.2036
'0:0:31.6,2.2033
'0:0:31.7,2.2031
'0:0:31.8,2.2027
'0:0:31.9,2.2017
'0:0:32.0,2.2010
'0:0:32.1,2.2001
'0:0:32.2,2.1994
'0:0:32.3,2.1983
'0:0:32.4,2.1967
'0:0:32.5,2.1953
'0:0:32.6,2.1941
'0:0:32.7,2.1936
'0:0:32.8,2.1941
'0:0:32.9,2.1948
'0:0:33.0,2.1943
'0:0:33.1,2.1929
'0:0:33.2,2.1922
'0:0:33.3,2.1916
'0:0:33.4,2.1909
'0:0:33.5,2.1901
'0:0:33.6,2.1890
'0:0:33.7,2.1880
'0:0:33.8,2.1869
'0:0:33.9,2.1859
'0:0:34.0,2.1850
'0:0:34.1,2.1838
'0:0:34.2,2.1820
'0:0:34.3,2.1804
'0:0:34.4,2.1789
'0:0:34.5,2.1773
'0:0:34.6,2.1766
'0:0:34.7,2.1773
'0:0:34.8,2.1778
'0:0:34.9,2.1764
'0:0:35.0,2.1733
'0:0:35.1,2.1700
'0:0:35.2,2.1684
'0:0:35.3,2.1672
'0:0:35.4,2.1653
'0:0:35.5,2.1632
'0:0:35.6,2.1598
'0:0:35.7,2.1551
'0:0:35.8,2.1518
'0:0:35.9,2.1482
'0:0:36.0,2.1460
'0:0:36.1,2.1458
'0:0:36.2,2.1446
'0:0:36.3,2.1461
'0:0:36.4,2.1480
'0:0:36.5,2.1432
'0:0:36.6,2.1283
'0:0:36.7,2.1153
'0:0:36.8,2.1103
'0:0:36.9,2.1086
'0:0:37.0,2.1102
'0:0:37.1,2.1092
'0:0:37.2,2.1142
'0:0:37.3,2.1173
'0:0:37.4,2.1295
'0:0:37.5,2.1460
'0:0:37.6,2.1634
'0:0:37.7,2.1655
'0:0:37.8,2.1667
'0:0:37.9,2.1653
'0:0:38.0,2.1651
'0:0:38.1,2.1651
'0:0:38.2,2.1641
'0:0:38.3,2.1629
'0:0:38.4,2.1627
'0:0:38.5,2.1624
'0:0:38.6,2.1615
'0:0:38.7,2.1618
'0:0:38.8,2.1620
'0:0:38.9,2.1615
'0:0:39.0,2.1610
'0:0:39.1,2.1612
'0:0:39.2,2.1615
'0:0:39.3,2.1624
'0:0:39.4,2.1632
'0:0:39.5,2.1636
'0:0:39.6,2.1638
'0:0:39.7,2.1636
'0:0:39.8,2.1643
'0:0:39.9,2.1650
'0:0:40.0,2.1658
'0:0:40.1,2.1657
'0:0:40.2,2.1651
'0:0:40.3,2.1639
'0:0:40.4,2.1618
'0:0:40.5,2.1593
'0:0:40.6,2.1570
'0:0:40.7,2.1546
'0:0:40.8,2.1520
'0:0:40.9,2.1498
'0:0:41.0,2.1479
'0:0:41.1,2.1455
'0:0:41.2,2.1431
'0:0:41.3,2.1412
'0:0:41.4,2.1391
'0:0:41.5,2.1367
'0:0:41.6,2.1347
'0:0:41.7,2.1324
'0:0:41.8,2.1304
'0:0:41.9,2.1280
'0:0:42.0,2.1260
'0:0:42.1,2.1237
'0:0:42.2,2.1219
'0:0:42.3,2.1202
'0:0:42.4,2.1181
'0:0:42.5,2.1159
'0:0:42.6,2.1139
'0:0:42.7,2.1120
'0:0:42.8,2.1102
'0:0:42.9,2.1080
'0:0:43.0,2.1061
'0:0:43.1,2.1038
'0:0:43.2,2.1016
'0:0:43.3,2.0995
'0:0:43.4,2.0980
'0:0:43.5,2.0965
'0:0:43.6,2.0955
'0:0:43.7,2.0948
'0:0:43.8,2.0943
'0:0:43.9,2.0943
'0:0:44.0,2.0943
'0:0:44.1,2.0943
'0:0:44.2,2.0950
'0:0:44.3,2.0955
'0:0:44.4,2.0960
'0:0:44.5,2.0967
'0:0:44.6,2.0967
'0:0:44.7,2.0965
'0:0:44.8,2.0963
'0:0:44.9,2.0960
'0:0:45.0,2.0957
'0:0:45.1,2.0948
'0:0:45.2,2.0943
'0:0:45.3,2.0933
'0:0:45.4,2.0925
'0:0:45.5,2.0938
'0:0:45.6,2.0948
'0:0:45.7,2.0928
'0:0:45.8,2.0905
'0:0:45.9,2.0880
'0:0:46.0,2.0858
'0:0:46.1,2.0833
'0:0:46.2,2.0808
'0:0:46.3,2.0786
'0:0:46.4,2.0763
'0:0:46.5,2.0741
'0:0:46.6,2.0721
'0:0:46.7,2.0698
'0:0:46.8,2.0675
'0:0:46.9,2.0653
'0:0:47.0,2.0635
'0:0:47.1,2.0613
'0:0:47.2,2.0593
'0:0:47.3,2.0579
'0:0:47.4,2.0560
'0:0:47.5,2.0541
'0:0:47.6,2.0519
'0:0:47.7,2.0501
'0:0:47.8,2.0483
'0:0:47.9,2.0465
'0:0:48.0,2.0453
'0:0:48.1,2.0437
'0:0:48.2,2.0421
'0:0:48.3,2.0404
'0:0:48.4,2.0388
'0:0:48.5,2.0375
'0:0:48.6,2.0358
'0:0:48.7,2.0344
'0:0:48.8,2.0326
'0:0:48.9,2.0308
'0:0:49.0,2.0290
'0:0:49.1,2.0270
'0:0:49.2,2.0254
'0:0:49.3,2.0236
'0:0:49.4,2.0220
'0:0:49.5,2.0204
'0:0:49.6,2.0187
'0:0:49.7,2.0166
'0:0:49.8,2.0147
'0:0:49.9,2.0127
'0:0:50.0,2.0110
'0:0:50.1,2.0090
'0:0:50.2,2.0072
'0:0:50.3,2.0055
'0:0:50.4,2.0039
'0:0:50.5,2.0021
'0:0:50.6,2.0005
'0:0:50.7,1.9990
'0:0:50.8,1.9973
'0:0:50.9,1.9955
'0:0:51.0,1.9944
'0:0:51.1,1.9926
'0:0:51.2,1.9908
'0:0:51.3,1.9891
'0:0:51.4,1.9875
'0:0:51.5,1.9857
'0:0:51.6,1.9840
'0:0:51.7,1.9825
'0:0:51.8,1.9806
'0:0:51.9,1.9789
'0:0:52.0,1.9771
'0:0:52.1,1.9752
'0:0:52.2,1.9735
'0:0:52.3,1.9717
'0:0:52.4,1.9701
'0:0:52.5,1.9684
'0:0:52.6,1.9665
'0:0:52.7,1.9646
'0:0:52.8,1.9630
'0:0:52.9,1.9611
'0:0:53.0,1.9595
'0:0:53.1,1.9576
'0:0:53.2,1.9561
'0:0:53.3,1.9542
'0:0:53.4,1.9524
'0:0:53.5,1.9509
'0:0:53.6,1.9493
'0:0:53.7,1.9476
'0:0:53.8,1.9458
'0:0:53.9,1.9441
'0:0:54.0,1.9425
'0:0:54.1,1.9407
'0:0:54.2,1.9389
'0:0:54.3,1.9375
'0:0:54.4,1.9358
'0:0:54.5,1.9343
'0:0:54.6,1.9327
'0:0:54.7,1.9311
'0:0:54.8,1.9294
'0:0:54.9,1.9277
'0:0:55.0,1.9263
'0:0:55.1,1.9246
'0:0:55.2,1.9229
'0:0:55.3,1.9212
'0:0:55.4,1.9195
'0:0:55.5,1.9178
'0:0:55.6,1.9162
'0:0:55.7,1.9145
'0:0:55.8,1.9130
'0:0:55.9,1.9113
'0:0:56.0,1.9101
'0:0:56.1,1.9087
'0:0:56.2,1.9071
'0:0:56.3,1.9056
'0:0:56.4,1.9045
'0:0:56.5,1.9033
