,HR,PC_HR,HR_MIN,HR_MAX,HRV,PC_HRV,HRV_MIN,HRV_MAX,BR,PC_BR,BR_MIN,BR_MAX,GSR,PC_GSR,GSR_MIN,GSR_MAX,Feedback
count,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0,24533.0
mean,81.18713569477866,2.095294405387687,79.714914604818,82.6571964292993,52.205342463892194,-3.2885191344333493,52.03721517955407,52.37341539966576,14.226297911656415,7.463766598593749,14.132376798597804,14.320201361431517,3.482954390684633,57.19129006920654,3.455164147474776,3.5114729833285283,1.644254677373334
std,9.774452155597217,8.274928350901359,9.591659036356331,10.046904148847506,16.926280505914512,18.565153220817976,16.902094106961872,16.957714626048112,3.577944662047647,26.847976244917486,3.594837351094836,3.5692693948387477,2.4254619191670876,79.34903223177744,2.4064208843517316,2.446310079863025,2.2891117754265067
min,54.666666666666664,-22.727998722248884,54.0,55.0,15.0,-58.00601043918384,15.0,15.0,3.7999999999999434,-69.00387245612627,3.6,3.9,0.18907666666666678,-43.08998476326521,0.18907000000000002,0.18908000000000003,0.0
25%,73.66666666666667,-3.52775164628409,72.0,75.0,40.0,-15.844241453997569,40.0,40.0,12.0,-6.854838709677424,12.0,12.0,1.3952366666666673,1.8171196580762956,1.3874,1.4023800000000002,0.0
50%,81.0,0.5906372138905479,79.0,82.0,50.0,-3.4410688960214646,50.0,51.0,14.0,4.750593824228024,14.0,14.0,3.2267233333333345,38.91824115411868,3.2007200000000005,3.25051,0.0
75%,87.66666666666667,6.45883193982531,86.0,89.0,62.666666666666664,9.121822205429918,62.0,63.0,17.0,17.273502406437636,17.0,17.0,5.178280000000003,75.06205864849295,5.1229,5.245410000000001,3.0
max,112.66666666666667,32.50240885214309,110.0,115.0,108.0,61.35563654487122,108.0,108.0,25.0,101.59981139065736,25.0,25.0,10.611399999999987,666.3009766644948,10.582799999999999,10.634199999999996,9.0
