Time,GSR
'0:0:24.5,2.7323
'0:0:24.6,2.7542
'0:0:24.7,2.7589
'0:0:24.8,2.7522
'0:0:24.9,2.7374
'0:0:25.0,2.7339
'0:0:25.1,2.7394
'0:0:25.2,2.7480
'0:0:25.3,2.7544
'0:0:25.4,2.7515
'0:0:25.5,2.7456
'0:0:25.6,2.7449
'0:0:25.7,2.7392
'0:0:25.8,2.7233
'0:0:25.9,2.7223
'0:0:26.0,2.7367
'0:0:26.1,2.7442
'0:0:26.2,2.7434
'0:0:26.3,2.7407
'0:0:26.4,2.7376
'0:0:26.5,2.7291
'0:0:26.6,2.7118
'0:0:26.7,2.7105
'0:0:26.8,2.7236
'0:0:26.9,2.7352
'0:0:27.0,2.7381
'0:0:27.1,2.7341
'0:0:27.2,2.7291
'0:0:27.3,2.7205
'0:0:27.4,2.7120
'0:0:27.5,2.7131
'0:0:27.6,2.7055
'0:0:27.7,2.7083
'0:0:27.8,2.7172
'0:0:27.9,2.7201
'0:0:28.0,2.7168
'0:0:28.1,2.7148
'0:0:28.2,2.7135
'0:0:28.3,2.7124
'0:0:28.4,2.7109
'0:0:28.5,2.7102
'0:0:28.6,2.7092
'0:0:28.7,2.7081
'0:0:28.8,2.7070
'0:0:28.9,2.7105
'0:0:29.0,2.7142
'0:0:29.1,2.7161
'0:0:29.2,2.7120
'0:0:29.3,2.7063
'0:0:29.4,2.7063
'0:0:29.5,2.7026
'0:0:29.6,2.6892
'0:0:29.7,2.6816
'0:0:29.8,2.6836
'0:0:29.9,2.6901
'0:0:30.0,2.7011
'0:0:30.1,2.7026
'0:0:30.2,2.6989
'0:0:30.3,2.6987
'0:0:30.4,2.6966
'0:0:30.5,2.6885
'0:0:30.6,2.6739
'0:0:30.7,2.6632
'0:0:30.8,2.6707
'0:0:30.9,2.6868
'0:0:31.0,2.6976
'0:0:31.1,2.6935
'0:0:31.2,2.6862
'0:0:31.3,2.6831
'0:0:31.4,2.6758
'0:0:31.5,2.6581
'0:0:31.6,2.6585
'0:0:31.7,2.6735
'0:0:31.8,2.6875
'0:0:31.9,2.6920
'0:0:32.0,2.6896
'0:0:32.1,2.6836
'0:0:32.2,2.6748
'0:0:32.3,2.6610
'0:0:32.4,2.6517
'0:0:32.5,2.6347
'0:0:32.6,2.6349
'0:0:32.7,2.6408
'0:0:32.8,2.6478
'0:0:32.9,2.6512
'0:0:33.0,2.6489
'0:0:33.1,2.6546
'0:0:33.2,2.6683
'0:0:33.3,2.6793
'0:0:33.4,2.6733
'0:0:33.5,2.6632
'0:0:33.6,2.6495
'0:0:33.7,2.6413
'0:0:33.8,2.6385
'0:0:33.9,2.6421
'0:0:34.0,2.6529
'0:0:34.1,2.6587
'0:0:34.2,2.6581
'0:0:34.3,2.6574
'0:0:34.4,2.6600
'0:0:34.5,2.6585
'0:0:34.6,2.6566
