Time, GSR
'0:0:24.5,4.8902
'0:0:24.6,4.8894
'0:0:24.7,4.8876
'0:0:24.8,4.8849
'0:0:24.9,4.8826
'0:0:25.0,4.8804
'0:0:25.1,4.8777
'0:0:25.2,4.8746
'0:0:25.3,4.8711
'0:0:25.4,4.8679
'0:0:25.5,4.8644
'0:0:25.6,4.8613
'0:0:25.7,4.8573
'0:0:25.8,4.8533
'0:0:25.9,4.8497
'0:0:26.0,4.8462
'0:0:26.1,4.8422
'0:0:26.2,4.8391
'0:0:26.3,4.8352
'0:0:26.4,4.8321
'0:0:26.5,4.8272
'0:0:26.6,4.8233
'0:0:26.7,4.8189
'0:0:26.8,4.8149
'0:0:26.9,4.8106
'0:0:27.0,4.8066
'0:0:27.1,4.8023
'0:0:27.2,4.7979
'0:0:27.3,4.7931
'0:0:27.4,4.7892
'0:0:27.5,4.7848
'0:0:27.6,4.7814
'0:0:27.7,4.7775
'0:0:27.8,4.7744
'0:0:27.9,4.7710
'0:0:28.0,4.7675
'0:0:28.1,4.7636
'0:0:28.2,4.7610
'0:0:28.3,4.7584
'0:0:28.4,4.7563
'0:0:28.5,4.7532
'0:0:28.6,4.7498
'0:0:28.7,4.7472
'0:0:28.8,4.7451
'0:0:28.9,4.7429
'0:0:29.0,4.7408
'0:0:29.1,4.7378
'0:0:29.2,4.7356
'0:0:29.3,4.7331
'0:0:29.4,4.7318
'0:0:29.5,4.7322
'0:0:29.6,4.7279
'0:0:29.7,4.7228
'0:0:29.8,4.7181
'0:0:29.9,4.7143
'0:0:30.0,4.7113
'0:0:30.1,4.7079
'0:0:30.2,4.7036
'0:0:30.3,4.7002
'0:0:30.4,4.6968
'0:0:30.5,4.6943
'0:0:30.6,4.6880
'0:0:30.7,4.6812
'0:0:30.8,4.6778
'0:0:30.9,4.6825
'0:0:31.0,4.6905
'0:0:31.1,4.6956
'0:0:31.2,4.7019
'0:0:31.3,4.7092
'0:0:31.4,4.7138
'0:0:31.5,4.7194
'0:0:31.6,4.7232
'0:0:31.7,4.7249
'0:0:31.8,4.7241
'0:0:31.9,4.7219
'0:0:32.0,4.7194
'0:0:32.1,4.7181
'0:0:32.2,4.7211
'0:0:32.3,4.7318
'0:0:32.4,4.7434
'0:0:32.5,4.7481
'0:0:32.6,4.7567
'0:0:32.7,4.7653
'0:0:32.8,4.7701
'0:0:32.9,4.7757
'0:0:33.0,4.7814
'0:0:33.1,4.7896
'0:0:33.2,4.7975
'0:0:33.3,4.8040
'0:0:33.4,4.8106
'0:0:33.5,4.8163
'0:0:33.6,4.8211
'0:0:33.7,4.8255
'0:0:33.8,4.8290
'0:0:33.9,4.8316
'0:0:34.0,4.8330
'0:0:34.1,4.8343
'0:0:34.2,4.8352
'0:0:34.3,4.8352
'0:0:34.4,4.8352
'0:0:34.5,4.8334
'0:0:34.6,4.8325
'0:0:34.7,4.8312
'0:0:34.8,4.8299
'0:0:34.9,4.8277
'0:0:35.0,4.8259
'0:0:35.1,4.8237
'0:0:35.2,4.8215
'0:0:35.3,4.8185
'0:0:35.4,4.8163
'0:0:35.5,4.8132
'0:0:35.6,4.8101
'0:0:35.7,4.8079
'0:0:35.8,4.8053
'0:0:35.9,4.8027
'0:0:36.0,4.8001
'0:0:36.1,4.7966
'0:0:36.2,4.7935
'0:0:36.3,4.7905
'0:0:36.4,4.7870
'0:0:36.5,4.7835
'0:0:36.6,4.7801
'0:0:36.7,4.7766
'0:0:36.8,4.7736
'0:0:36.9,4.7705
'0:0:37.0,4.7671
'0:0:37.1,4.7640
'0:0:37.2,4.7606
'0:0:37.3,4.7571
'0:0:37.4,4.7550
'0:0:37.5,4.7511
'0:0:37.6,4.7485
'0:0:37.7,4.7459
'0:0:37.8,4.7429
'0:0:37.9,4.7399
'0:0:38.0,4.7369
'0:0:38.1,4.7361
'0:0:38.2,4.7339
'0:0:38.3,4.7305
'0:0:38.4,4.7284
'0:0:38.5,4.7254
'0:0:38.6,4.7224
'0:0:38.7,4.7207
'0:0:38.8,4.7185
'0:0:38.9,4.7164
'0:0:39.0,4.7143
'0:0:39.1,4.7121
'0:0:39.2,4.7104
'0:0:39.3,4.7083
'0:0:39.4,4.7075
'0:0:39.5,4.7066
'0:0:39.6,4.7045
'0:0:39.7,4.7036
'0:0:39.8,4.7036
'0:0:39.9,4.7049
'0:0:40.0,4.7079
'0:0:40.1,4.7126
'0:0:40.2,4.7181
'0:0:40.3,4.7241
'0:0:40.4,4.7309
'0:0:40.5,4.7378
'0:0:40.6,4.7451
'0:0:40.7,4.7520
'0:0:40.8,4.7589
'0:0:40.9,4.7649
'0:0:41.0,4.7714
'0:0:41.1,4.7757
'0:0:41.2,4.7792
'0:0:41.3,4.7831
'0:0:41.4,4.7866
'0:0:41.5,4.7883
'0:0:41.6,4.7901
'0:0:41.7,4.7914
'0:0:41.8,4.7914
'0:0:41.9,4.7909
'0:0:42.0,4.7905
'0:0:42.1,4.7896
'0:0:42.2,4.7887
'0:0:42.3,4.7874
'0:0:42.4,4.7861
'0:0:42.5,4.7840
'0:0:42.6,4.7822
'0:0:42.7,4.7801
'0:0:42.8,4.7779
'0:0:42.9,4.7757
'0:0:43.0,4.7727
'0:0:43.1,4.7705
'0:0:43.2,4.7679
'0:0:43.3,4.7658
'0:0:43.4,4.7632
'0:0:43.5,4.7606
'0:0:43.6,4.7576
'0:0:43.7,4.7550
'0:0:43.8,4.7520
'0:0:43.9,4.7489
'0:0:44.0,4.7459
'0:0:44.1,4.7434
'0:0:44.2,4.7408
'0:0:44.3,4.7382
'0:0:44.4,4.7361
'0:0:44.5,4.7331
'0:0:44.6,4.7305
'0:0:44.7,4.7279
'0:0:44.8,4.7245
'0:0:44.9,4.7219
'0:0:45.0,4.7194
'0:0:45.1,4.7168
'0:0:45.2,4.7151
'0:0:45.3,4.7126
'0:0:45.4,4.7104
'0:0:45.5,4.7087
'0:0:45.6,4.7066
'0:0:45.7,4.7045
'0:0:45.8,4.7028
'0:0:45.9,4.7002
'0:0:46.0,4.6985
'0:0:46.1,4.6964
'0:0:46.2,4.6947
'0:0:46.3,4.6922
'0:0:46.4,4.6905
'0:0:46.5,4.6892
'0:0:46.6,4.6875
'0:0:46.7,4.6867
'0:0:46.8,4.6850
'0:0:46.9,4.6837
'0:0:47.0,4.6820
'0:0:47.1,4.6803
'0:0:47.2,4.6787
'0:0:47.3,4.6770
'0:0:47.4,4.6761
'0:0:47.5,4.6749
'0:0:47.6,4.6736
'0:0:47.7,4.6728
'0:0:47.8,4.6711
'0:0:47.9,4.6694
'0:0:48.0,4.6686
'0:0:48.1,4.6677
'0:0:48.2,4.6669
'0:0:48.3,4.6652
'0:0:48.4,4.6644
'0:0:48.5,4.6627
'0:0:48.6,4.6610
'0:0:48.7,4.6602
'0:0:48.8,4.6597
'0:0:48.9,4.6593
'0:0:49.0,4.6597
'0:0:49.1,4.6602
'0:0:49.2,4.6606
'0:0:49.3,4.6610
'0:0:49.4,4.6623
'0:0:49.5,4.6635
'0:0:49.6,4.6644
'0:0:49.7,4.6656
'0:0:49.8,4.6669
'0:0:49.9,4.6677
'0:0:50.0,4.6686
'0:0:50.1,4.6690
'0:0:50.2,4.6694
'0:0:50.3,4.6702
'0:0:50.4,4.6711
'0:0:50.5,4.6715
'0:0:50.6,4.6715
'0:0:50.7,4.6715
'0:0:50.8,4.6711
'0:0:50.9,4.6711
'0:0:51.0,4.6711
'0:0:51.1,4.6707
'0:0:51.2,4.6702
'0:0:51.3,4.6690
'0:0:51.4,4.6686
'0:0:51.5,4.6677
'0:0:51.6,4.6673
'0:0:51.7,4.6673
'0:0:51.8,4.6669
'0:0:51.9,4.6660
'0:0:52.0,4.6656
'0:0:52.1,4.6644
'0:0:52.2,4.6631
'0:0:52.3,4.6618
'0:0:52.4,4.6610
'0:0:52.5,4.6602
'0:0:52.6,4.6593
'0:0:52.7,4.6581
'0:0:52.8,4.6576
'0:0:52.9,4.6568
'0:0:53.0,4.6560
'0:0:53.1,4.6547
'0:0:53.2,4.6539
'0:0:53.3,4.6526
'0:0:53.4,4.6522
'0:0:53.5,4.6514
'0:0:53.6,4.6505
'0:0:53.7,4.6493
'0:0:53.8,4.6484
'0:0:53.9,4.6476
'0:0:54.0,4.6463
'0:0:54.1,4.6455
