,Severity,HR,PC_HR,HR_MIN,HR_MAX,HRV,PC_HRV,HRV_MIN,HRV_MAX,BR,PC_BR,BR_MIN,BR_MAX,GSR,PC_GSR,GSR_MIN,GSR_MAX
count,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0,14886.0
mean,2.004433696090286,82.76700703121502,4.224263920863134,81.28684670159882,84.24607013301089,51.03161807514891,-6.723871507409983,50.86779524385329,51.196694881096334,14.410656545299831,12.633115190655143,14.31068117694478,14.510157194679566,3.987733815665727,78.80955584213685,3.9568289688297726,4.019520365444042
std,0.7727169771499895,10.414238279065327,9.34270549717875,10.223058646394268,10.690804065906283,15.517414319774007,20.057970893275726,15.485574292057992,15.555969311334897,3.4791222150035837,32.180207646504314,3.494431115429436,3.4723477369535054,2.514866612236997,88.93350971245127,2.4976209274960453,2.5335873448755044
min,1.0,54.666666666666664,-22.72799872224884,54.0,55.0,15.0,-58.00601043918384,15.0,15.0,4.033333333333355,-68.20401519262076,3.9,4.2,0.18909000000000012,-42.934854743671714,0.18907000000000002,0.18910000000000002
25%,1.0,74.33333333333333,-2.3627864897466777,73.0,76.0,41.0,-22.00719120135363,41.0,41.0,12.0,-6.596306068601579,12.0,12.0,1.655026666666665,28.652036080852486,1.6466,1.6659225000000004
50%,2.0,81.66666666666667,2.5988339589489415,80.0,83.0,49.666666666666664,-7.563025210084036,49.0,50.0,14.0,8.187672493100276,14.0,14.1,4.353163333333326,57.49634190873533,4.30232,4.400729999999999
75%,3.0,89.66666666666667,9.350413556586648,88.0,91.0,60.0,6.765197501539551,60.0,60.0,17.0,27.588403486447227,17.0,17.0,6.12173000000001,101.07666971366693,6.057040000000001,6.1826574999999995
max,3.0,115.33333333333333,37.581855933556945,113.0,117.0,103.66666666666667,63.60510935392589,103.0,104.0,25.0,116.42922097605341,25.0,25.0,10.611399999999987,774.3779062844054,10.582799999999999,10.634199999999996
