,Epoch,HR,PC_HR,HR_MIN,HR_MAX,HRV,PC_HRV,HRV_MIN,HRV_MAX,BR,PC_BR,BR_MIN,BR_MAX,GSR,PC_GSR,GSR_MIN,GSR_MAX,Feedback
2019-03-12 03:51:24,0,91.0,1.2338187702265375,90.0,92.0,28.0,-3.0837004405286335,28.0,28.0,12.199999999999998,-0.48611683282504553,12.0,12.3,1.191976666666667,2.184942988400306,1.1844299999999999,1.1977,0.0
2019-03-12 03:51:25,0,91.66666666666667,1.9754584681769203,91.0,92.0,28.0,-3.0837004405286335,28.0,28.0,12.399999999999999,1.1452583010630775,12.3,12.6,1.20052,2.9173399001946185,1.1938,1.21006,0.0
2019-03-12 03:51:26,0,91.33333333333333,1.604638619201721,90.0,92.0,28.0,-3.0837004405286335,28.0,28.0,12.5,1.960945868007146,12.3,12.6,1.2082366666666666,3.578868909482117,1.1977,1.2169500000000002,0.0
2019-03-12 03:51:31,0,89.0,-0.9911003236245951,88.0,90.0,28.0,-3.0837004405286335,28.0,28.0,13.366666666666669,9.03023811485566,13.3,13.5,1.1831966666666667,1.4322572819366632,1.17659,1.19004,0.0
2019-03-12 03:51:32,0,89.0,-0.9911003236245951,88.0,90.0,28.0,-3.0837004405286335,28.0,28.0,13.433333333333337,9.57402982615171,13.3,13.5,1.1765133333333335,0.859313150782706,1.1699899999999999,1.18296,0.0
2019-03-12 03:51:33,0,89.0,-0.9911003236245951,88.0,90.0,28.0,-3.0837004405286335,28.0,28.0,13.533333333333337,10.389717393095765,13.5,13.6,1.1673733333333336,0.07576561580805243,1.1555399999999998,1.17659,0.0
2019-03-12 03:51:37,0,89.33333333333333,-0.6202804746494117,89.0,90.0,27.666666666666668,-4.237465911474717,27.0,28.0,14.133333333333338,15.283842794760119,14.1,14.2,1.1621300000000006,-0.3737312013017478,1.1594399999999998,1.16489,0.0
2019-03-12 03:51:38,0,89.33333333333333,-0.6202804746494117,89.0,90.0,27.333333333333332,-5.391231382420813,27.0,28.0,14.16666666666667,15.555738650408124,14.1,14.2,1.1590933333333342,-0.6340564399457456,1.1529500000000001,1.16489,0.0
2019-03-12 03:51:47,0,91.0,1.2338187702265375,90.0,92.0,27.0,-6.5449968533668965,27.0,27.0,15.566666666666668,26.975364587624913,15.5,15.7,1.1540166666666674,-1.069265373485661,1.15041,1.15709,0.0
2019-03-12 03:51:59,0,92.0,2.346278317152104,92.0,92.0,27.0,-6.5449968533668965,27.0,27.0,17.199999999999992,40.29826151437777,17.2,17.2,1.1203766666666675,-3.953131793239214,1.1156799999999998,1.1245900000000002,0.0
2019-03-12 03:52:01,0,92.33333333333333,2.7170981661272875,92.0,93.0,27.0,-6.5449968533668965,27.0,27.0,17.233333333333324,40.570157370025775,17.2,17.3,1.1114200000000005,-4.720962656286981,1.10666,1.1156799999999998,0.0
2019-03-12 03:52:19,0,88.33333333333333,-1.732740021574978,88.0,89.0,27.0,-6.5449968533668965,27.0,27.0,17.39999999999996,41.929636648265614,17.4,17.4,1.2366600000000005,6.015524573497092,1.2293499999999997,1.24263,0.0
2019-03-12 03:52:22,0,86.0,-4.328478964401294,85.0,87.0,27.0,-6.5449968533668965,27.0,27.0,17.266666666666627,40.842053225673546,17.2,17.4,1.2107066666666675,3.7906153439884718,1.20066,1.2204700000000002,0.0
2019-03-12 03:52:26,0,86.33333333333333,-3.9576591154261105,86.0,87.0,27.0,-6.5449968533668965,27.0,27.0,16.733333333333288,36.491719535305194,16.6,17.0,1.1795833333333343,1.1224959661407836,1.1712399999999998,1.18859,0.0
2019-03-12 03:52:30,0,87.33333333333333,-2.845199568500544,86.0,89.0,27.0,-6.5449968533668965,27.0,27.0,16.199999999999953,32.141385844936885,16.0,16.6,1.1588200000000008,-0.657488569000423,1.15206,1.1712399999999998,0.0
2019-03-12 03:52:38,0,88.66666666666667,-1.3619201725997787,86.0,91.0,27.0,-6.5449968533668965,27.0,27.0,13.06666666666662,6.583175414023092,12.6,14.0,1.129513333333334,-3.1698700159359614,1.1255399999999998,1.13415,0.0
2019-03-12 03:52:43,0,97.33333333333333,8.27939590075512,95.0,99.0,29.0,0.3775959723096296,29.0,29.0,9.966666666666617,-18.703139161242706,9.5,10.2,1.1481400000000006,-1.5730561481612064,1.12997,1.1649100000000001,0.0
2019-03-12 03:52:46,0,90.33333333333333,0.49217907227615465,90.0,91.0,29.0,0.3775959723096296,29.0,29.0,9.099999999999952,-25.77243140809119,8.9,9.5,1.1732233333333342,0.5772703291124521,1.1695200000000001,1.17887,0.0
2019-03-12 03:52:54,0,98.33333333333333,9.391855447680687,98.0,99.0,30.333333333333332,4.9926578560939765,30.0,31.0,8.466666666666624,-30.938452665403503,8.4,8.5,1.1841533333333343,1.5142697336281103,1.1776300000000002,1.1895000000000002,0.0
2019-03-12 03:52:55,0,97.66666666666667,8.650215749730318,96.0,99.0,30.666666666666668,6.146423327040072,30.0,31.0,8.499999999999957,-30.66655680975549,8.5,8.5,1.186903333333334,1.7500198125318482,1.18533,1.1895000000000002,0.0
2019-03-12 03:52:58,0,91.33333333333333,1.604638619201721,91.0,92.0,30.333333333333332,4.9926578560939765,30.0,31.0,8.766666666666623,-28.491389964571347,8.5,8.9,1.1789200000000006,1.0656301895324543,1.1755900000000001,1.1822499999999998,0.0
2019-03-12 03:53:00,0,90.66666666666667,0.8629989212513539,90.0,91.0,30.0,3.8388923851478927,30.0,30.0,9.099999999999959,-25.772431408091133,8.9,9.2,1.1735500000000008,0.6052745809094973,1.1689899999999998,1.1789200000000002,0.0
